epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.87,1.03092,1.7547,1.06766,0.79647,0.80882,0.82612,0.43437,1.26128,1.55701,1.07631,0.000652482,0.000652482,0.000652482
2,32.7115,0.99158,1.03545,1.05648,0.76186,0.82353,0.83335,0.56588,1.06118,1.27733,1.0781,0.00118855,0.00118855,0.00118855
3,46.5924,0.90193,0.96463,1.02708,0.83792,0.77941,0.84311,0.60191,1.02038,1.31265,1.11759,0.00159262,0.00159262,0.00159262
4,60.2015,0.78914,0.88535,0.97666,0.88277,0.88592,0.93034,0.66392,0.92153,1.34179,1.07702,0.001406,0.001406,0.001406
5,74.0939,0.68572,0.77816,0.94702,0.95321,0.86765,0.96046,0.72977,0.77866,1.03426,1.01289,0.001208,0.001208,0.001208
6,87.7827,0.60489,0.70416,0.92156,0.9505,0.92647,0.97141,0.81101,0.6535,0.84209,0.92655,0.00101,0.00101,0.00101
7,101.523,0.50871,0.61498,0.87052,0.97288,0.88235,0.98321,0.83489,0.61611,0.69292,0.9206,0.000812,0.000812,0.000812
8,115.503,0.44425,0.57575,0.85243,0.99376,0.92647,0.98795,0.84149,0.57801,0.64741,0.89765,0.000614,0.000614,0.000614
9,129.469,0.40528,0.52448,0.83869,0.96757,0.94118,0.98793,0.87872,0.50232,0.59367,0.8752,0.000416,0.000416,0.000416
10,143.223,0.35809,0.48902,0.82895,0.93766,0.98529,0.9874,0.86607,0.47558,0.58959,0.86793,0.000218,0.000218,0.000218
